model,trial,val_ndcg5,learning_rate,num_leaves,max_depth,min_child_samples,bagging_fraction,feature_fraction,lambda_l2,min_gain_to_split,eta,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
xgb,11,0.4074404479659442,,,7,,,,,,0.08850379152651261,20.0,0.5051915649537512,0.7930679183446125,0.1485187751108623,61.66343325551921,3.292044498377011
xgb,12,0.40507437725624124,,,7,,,,,,0.09384528219034152,21.0,0.5017806615504058,0.7447014489005493,0.23590428154137588,94.10833599533838,3.427776012443883
xgb,13,0.4073057116569393,,,6,,,,,,0.09775008863543665,16.0,0.5049623702934061,0.8255079015857973,0.1529778202251826,99.26866770500969,3.479312489737048
xgb,14,0.40006867542763874,,,4,,,,,,0.06153214569180696,30.0,0.5797654491534234,0.7226065972922637,1.4197079245782382,18.647792226586862,3.31866218726369
xgb,15,0.4073718249087613,,,9,,,,,,0.06079956567673554,28.0,0.5827781406926889,0.8705765955899739,0.08409022396413278,25.612134601896727,3.9732268205604453
xgb,16,0.40645262249060826,,,6,,,,,,0.06181488769999091,15.0,0.5829793668662153,0.9972051753265123,1.2598195248339197,0.31431170959893884,2.807516649085973
xgb,17,0.4080246565963001,,,7,,,,,,0.048284915596396485,34.0,0.657371881943114,0.7864602527183489,0.051021177189477546,4.831270385129237,3.7641275673764603
xgb,18,0.40636002332814053,,,9,,,,,,0.04289827699761417,39.0,0.6569139591565759,0.6811852168264261,0.03996673549441503,4.624923977773032,4.970371905969534
xgb,19,0.4058837467579477,,,7,,,,,,0.053691166620747334,32.0,0.7163728055902457,0.8505365445565466,5.37887620419779,0.36425807031696283,3.9970108430213247
xgb,20,0.40530003286954397,,,6,,,,,,0.07578783069807939,42.0,0.7065280636039671,0.9292066062055611,0.5735881838876776,30.716026987437036,2.911104640587695
xgb,21,0.4081471490151272,,,7,,,,,,0.07802903648385064,23.0,0.5483490585017414,0.7666948077315919,0.043128363381604536,47.582075708364655,3.8866204176938046
xgb,22,0.40717523616656204,,,7,,,,,,0.04989955125043165,26.0,0.5565757572232559,0.7667704332859141,0.034172446073753186,8.938800579455553,3.8801818396108234
